city,location
684,Point(80.331111111 26.4725)
685,Point(109.48628 36.59523)
686,Point(-40.42 -20.263888888)
687,Point(-66.040833333 -17.404166666)
688,Point(127.701666666 34.940277777)
689,Point(-55.716666666 -22.566666666)
690,Point(9.233333333 4.166666666)
691,Point(132.33333 34.35)
692,Point(28.45 -14.433333333)
693,Point(139.800277777 36.314722222)
694,Point(-117.228333333 33.943055555)
695,Point(83.316666666 17.733333333)
696,Point(55.744722222 24.2075)
697,Point(111.96272 21.85563)
698,Point(-40.293611111 -20.336388888)
699,Point(11.004444444 49.596388888)
700,Point(139.601777777 36.131444444)
701,Point(120.55123 31.87748)
702,Point(106.75586 31.85764)
703,Point(23.76 61.498055555)
704,Point(-76.866666666 17.966666666)
705,Point(-41.776944444 -2.905)
706,Point(-83.916666666 9.866666666)
707,Point(-116.237777777 43.613611111)
708,Point(-104.654444444 24.022777777)
709,Point(110.502222222 -7.338888888)
710,Point(137.375916666 34.826777777)
711,Point(9.929444444 49.794444444)
712,Point(-2.60288 53.38732)
713,Point(-43.196388888 -22.908333333)
714,Point(29.4 38.683333333)
715,Point(135.628055555 34.766111111)
716,Point(32.466666666 -25.966666666)
717,Point(123.1772 41.26432)
718,Point(-45.933611111 -22.228055555)
719,Point(-50.927777777 -17.797777777)
720,Point(4.55 8.5)
721,Point(31.206411 -26.44648)
722,Point(88.14 25.04)
723,Point(108.616666666 21.95)
724,Point(-5.666666666 11.316666666)
725,Point(125.716666666 38.033333333)
726,Point(35.833333333 40.65)
727,Point(-41.505 -17.857777777)
728,Point(46.176111111 35.526944444)
729,Point(90.366666666 22.7)
730,Point(-73.629444444 4.1425)
731,Point(9.738611111 52.374444444)
732,Point(14.25 40.833333333)
733,Point(47.78392 52.03898)
734,Point(-46.550833333 -23.622777777)
735,Point(44.580833 33.093611)
736,Point(48.304166666 30.339166666)
737,Point(34.051666666 37.505833333)
738,Point(0.688333333 47.392777777)
739,Point(22.45 -33.9667)
740,Point(29.066666666 40.183333333)
741,Point(-121.300833333 37.975555555)
742,Point(108.566666666 -6.716666666)
743,Point(-86.883333333 12.433333333)
744,Point(41.866666666 9.583333333)
745,Point(95.3175 5.55)
746,Point(28.0425 45.423333333)
747,Point(75.866666666 26.916666666)
748,Point(31.0 30.783333333)
749,Point(128.354444444 36.21)
750,Point(140.066666666 36.033333333)
751,Point(-58.7275 -34.6653)
752,Point(26.669444444 47.748611111)
753,Point(118.766666666 32.05)
754,Point(-78.85 43.9)
755,Point(124.80883 43.50359)
756,Point(15.196522467 59.266926001)
757,Point(103.859722222 13.362222222)
758,Point(-82.183333333 42.4)
759,Point(-46.5425 -22.918888888)
760,Point(83.985277777 28.209722222)
761,Point(5.930555555 43.125)
762,Point(73.433333333 61.25)
763,Point(106.666666666 20.8)
764,Point(30.55 37.766666666)
765,Point(6.633333333 46.533333333)
766,Point(110.08058 20.91471)
767,Point(-117.396127777 33.948063888)
768,Point(53.059722222 36.565833333)
769,Point(97.633333333 16.890555555)
770,Point(135.405555555 34.786666666)
771,Point(44.514444444 40.181388888)
772,Point(31.27579 58.52099)
773,Point(-38.966944444 -12.266944444)
774,Point(27.8725 -26.1625)
775,Point(-46.412777777 -23.710833333)
776,Point(87.78 22.88)
777,Point(116.78904 33.95618)
778,Point(-52.425833333 -29.717777777)
779,Point(116.70056 39.51962)
780,Point(21.896111111 43.319166666)
781,Point(-9.497222222 30.334166666)
782,Point(15.616666666 48.2)
783,Point(178.433333333 -18.133333333)
784,Point(133.531388888 33.558888888)
785,Point(127.488611111 39.965555555)
786,Point(15.283333333 -4.266666666)
787,Point(101.45 3.033333333)
788,Point(33.783333333 -13.983333333)
789,Point(35.746 -6.1835)
790,Point(-109.708055555 23.061388888)
791,Point(33.811666666 27.257777777)
792,Point(14.041666666 50.659166666)
793,Point(51.6675 32.644722222)
794,Point(135.700555555 34.691944444)
795,Point(-63.55 8.116666666)
796,Point(-64.95 18.35)
797,Point(-47.978888888 -16.065833333)
798,Point(136.9 35.016666666)
799,Point(136.25 35.25)
800,Point(43.833333333 40.783333333)
801,Point(22.27 60.451666666)
802,Point(104.626278 35.580611)
